#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
c_100_0;100.0;100.0;100.0;;100.0;;;;;;;;;x
c_100_0_adj;100.0ian;;100.0er;;;;;;;;;;;x
c_101_0;101.0;101.0;101.0;;101.0;;;;;;;;;x
c_101_0_adj;101.0ian;;101.0er;;;;;;;;;;;x
c_102_0;102.0;102.0;102.0;;102.0;;;;;;;;;x
c_102_0_adj;102.0ian;;102.0er;;;;;;;;;;;x
c_103_0;103.0;103.0;103.0;;103.0;;;;;;;;;x
c_103_0_adj;103.0ian;;103.0er;;;;;;;;;;;x
c_104_0;104.0;104.0;104.0;;104.0;;;;;;;;;x
c_104_0_adj;104.0ian;;104.0er;;;;;;;;;;;x
c_105_0;105.0;105.0;105.0;;105.0;;;;;;;;;x
c_105_0_adj;105.0ian;;105.0er;;;;;;;;;;;x
c_106_0;106.0;106.0;106.0;;106.0;;;;;;;;;x
c_106_0_adj;106.0ian;;106.0er;;;;;;;;;;;x
c_107_0;107.0;107.0;107.0;;107.0;;;;;;;;;x
c_107_0_adj;107.0ian;;107.0er;;;;;;;;;;;x
c_108_0;108.0;108.0;108.0;;108.0;;;;;;;;;x
c_108_0_adj;108.0ian;;108.0er;;;;;;;;;;;x
c_109_0;109.0;109.0;109.0;;109.0;;;;;;;;;x
c_109_0_adj;109.0ian;;109.0er;;;;;;;;;;;x
c_110_0;110.0;110.0;110.0;;110.0;;;;;;;;;x
c_110_0_adj;110.0ian;;110.0er;;;;;;;;;;;x
c_111_0;111.0;111.0;111.0;;111.0;;;;;;;;;x
c_111_0_adj;111.0ian;;111.0er;;;;;;;;;;;x
c_112_0;112.0;112.0;112.0;;112.0;;;;;;;;;x
c_112_0_adj;112.0ian;;112.0er;;;;;;;;;;;x
c_113_0;113.0;113.0;113.0;;113.0;;;;;;;;;x
c_113_0_adj;113.0ian;;113.0er;;;;;;;;;;;x
c_114_0;114.0;114.0;114.0;;114.0;;;;;;;;;x
c_114_0_adj;114.0ian;;114.0er;;;;;;;;;;;x
c_115_0;115.0;115.0;115.0;;115.0;;;;;;;;;x
c_115_0_adj;115.0ian;;115.0er;;;;;;;;;;;x
c_116_0;116.0;116.0;116.0;;116.0;;;;;;;;;x
c_116_0_adj;116.0ian;;116.0er;;;;;;;;;;;x
c_117_0;117.0;117.0;117.0;;117.0;;;;;;;;;x
c_117_0_adj;117.0ian;;117.0er;;;;;;;;;;;x
c_118_0;118.0;118.0;118.0;;118.0;;;;;;;;;x
c_118_0_adj;118.0ian;;118.0er;;;;;;;;;;;x
c_119_0;119.0;119.0;119.0;;119.0;;;;;;;;;x
c_119_0_adj;119.0ian;;119.0er;;;;;;;;;;;x
c_120_0;120.0;120.0;120.0;;120.0;;;;;;;;;x
c_120_0_adj;120.0ian;;120.0er;;;;;;;;;;;x
c_121_0;121.0;121.0;121.0;;121.0;;;;;;;;;x
c_121_0_adj;121.0ian;;121.0er;;;;;;;;;;;x
c_122_0;122.0;122.0;122.0;;122.0;;;;;;;;;x
c_122_0_adj;122.0ian;;122.0er;;;;;;;;;;;x
c_123_0;123.0;123.0;123.0;;123.0;;;;;;;;;x
c_123_0_adj;123.0ian;;123.0er;;;;;;;;;;;x
c_124_0;124.0;124.0;124.0;;124.0;;;;;;;;;x
c_124_0_adj;124.0ian;;124.0er;;;;;;;;;;;x
c_125_0;125.0;125.0;125.0;;125.0;;;;;;;;;x
c_125_0_adj;125.0ian;;125.0er;;;;;;;;;;;x
c_126_0;126.0;126.0;126.0;;126.0;;;;;;;;;x
c_126_0_adj;126.0ian;;126.0er;;;;;;;;;;;x
c_127_0;127.0;127.0;127.0;;127.0;;;;;;;;;x
c_127_0_adj;127.0ian;;127.0er;;;;;;;;;;;x
c_128_0;128.0;128.0;128.0;;128.0;;;;;;;;;x
c_128_0_adj;128.0ian;;128.0er;;;;;;;;;;;x
c_129_0;129.0;129.0;129.0;;129.0;;;;;;;;;x
c_129_0_adj;129.0ian;;129.0er;;;;;;;;;;;x
c_130_0;130.0;130.0;130.0;;130.0;;;;;;;;;x
c_130_0_adj;130.0ian;;130.0er;;;;;;;;;;;x
c_131_0;131.0;131.0;131.0;;131.0;;;;;;;;;x
c_131_0_adj;131.0ian;;131.0er;;;;;;;;;;;x
c_132_0;132.0;132.0;132.0;;132.0;;;;;;;;;x
c_132_0_adj;132.0ian;;132.0er;;;;;;;;;;;x
c_133_0;133.0;133.0;133.0;;133.0;;;;;;;;;x
c_133_0_adj;133.0ian;;133.0er;;;;;;;;;;;x
c_134_0;134.0;134.0;134.0;;134.0;;;;;;;;;x
c_134_0_adj;134.0ian;;134.0er;;;;;;;;;;;x
c_135_0;135.0;135.0;135.0;;135.0;;;;;;;;;x
c_135_0_adj;135.0ian;;135.0er;;;;;;;;;;;x
c_136_0;136.0;136.0;136.0;;136.0;;;;;;;;;x
c_136_0_adj;136.0ian;;136.0er;;;;;;;;;;;x
c_137_0;137.0;137.0;137.0;;137.0;;;;;;;;;x
c_137_0_adj;137.0ian;;137.0er;;;;;;;;;;;x
c_138_0;138.0;138.0;138.0;;138.0;;;;;;;;;x
c_138_0_adj;138.0ian;;138.0er;;;;;;;;;;;x
c_139_0;139.0;139.0;139.0;;139.0;;;;;;;;;x
c_139_0_adj;139.0ian;;139.0er;;;;;;;;;;;x
c_140_0;140.0;140.0;140.0;;140.0;;;;;;;;;x
c_140_0_adj;140.0ian;;140.0er;;;;;;;;;;;x
c_141_0;141.0;141.0;141.0;;141.0;;;;;;;;;x
c_141_0_adj;141.0ian;;141.0er;;;;;;;;;;;x
c_142_0;142.0;142.0;142.0;;142.0;;;;;;;;;x
c_142_0_adj;142.0ian;;142.0er;;;;;;;;;;;x
c_143_0;143.0;143.0;143.0;;143.0;;;;;;;;;x
c_143_0_adj;143.0ian;;143.0er;;;;;;;;;;;x
c_144_0;144.0;144.0;144.0;;144.0;;;;;;;;;x
c_144_0_adj;144.0ian;;144.0er;;;;;;;;;;;x
c_145_0;145.0;145.0;145.0;;145.0;;;;;;;;;x
c_145_0_adj;145.0ian;;145.0er;;;;;;;;;;;x
c_146_0;146.0;146.0;146.0;;146.0;;;;;;;;;x
c_146_0_adj;146.0ian;;146.0er;;;;;;;;;;;x
c_147_0;147.0;147.0;147.0;;147.0;;;;;;;;;x
c_147_0_adj;147.0ian;;147.0er;;;;;;;;;;;x
c_148_0;148.0;148.0;148.0;;148.0;;;;;;;;;x
c_148_0_adj;148.0ian;;148.0er;;;;;;;;;;;x
c_149_0;149.0;149.0;149.0;;149.0;;;;;;;;;x
c_149_0_adj;149.0ian;;149.0er;;;;;;;;;;;x
c_150_0;150.0;150.0;150.0;;150.0;;;;;;;;;x
c_150_0_adj;150.0ian;;150.0er;;;;;;;;;;;x
c_151_0;151.0;151.0;151.0;;151.0;;;;;;;;;x
c_151_0_adj;151.0ian;;151.0er;;;;;;;;;;;x
c_152_0;152.0;152.0;152.0;;152.0;;;;;;;;;x
c_152_0_adj;152.0ian;;152.0er;;;;;;;;;;;x
c_153_0;153.0;153.0;153.0;;153.0;;;;;;;;;x
c_153_0_adj;153.0ian;;153.0er;;;;;;;;;;;x
c_154_0;154.0;154.0;154.0;;154.0;;;;;;;;;x
c_154_0_adj;154.0ian;;154.0er;;;;;;;;;;;x
c_155_0;155.0;155.0;155.0;;155.0;;;;;;;;;x
c_155_0_adj;155.0ian;;155.0er;;;;;;;;;;;x
c_156_0;156.0;156.0;156.0;;156.0;;;;;;;;;x
c_156_0_adj;156.0ian;;156.0er;;;;;;;;;;;x
c_157_0;157.0;157.0;157.0;;157.0;;;;;;;;;x
c_157_0_adj;157.0ian;;157.0er;;;;;;;;;;;x
c_158_0;158.0;158.0;158.0;;158.0;;;;;;;;;x
c_158_0_adj;158.0ian;;158.0er;;;;;;;;;;;x
c_159_0;159.0;159.0;159.0;;159.0;;;;;;;;;x
c_159_0_adj;159.0ian;;159.0er;;;;;;;;;;;x
c_160_0;160.0;160.0;160.0;;160.0;;;;;;;;;x
c_160_0_adj;160.0ian;;160.0er;;;;;;;;;;;x
c_161_0;161.0;161.0;161.0;;161.0;;;;;;;;;x
c_161_0_adj;161.0ian;;161.0er;;;;;;;;;;;x
c_162_0;162.0;162.0;162.0;;162.0;;;;;;;;;x
c_162_0_adj;162.0ian;;162.0er;;;;;;;;;;;x
c_163_0;163.0;163.0;163.0;;163.0;;;;;;;;;x
c_163_0_adj;163.0ian;;163.0er;;;;;;;;;;;x
c_164_0;164.0;164.0;164.0;;164.0;;;;;;;;;x
c_164_0_adj;164.0ian;;164.0er;;;;;;;;;;;x
c_165_0;165.0;165.0;165.0;;165.0;;;;;;;;;x
c_165_0_adj;165.0ian;;165.0er;;;;;;;;;;;x
c_166_0;166.0;166.0;166.0;;166.0;;;;;;;;;x
c_166_0_adj;166.0ian;;166.0er;;;;;;;;;;;x
c_167_0;167.0;167.0;167.0;;167.0;;;;;;;;;x
c_167_0_adj;167.0ian;;167.0er;;;;;;;;;;;x
c_168_0;168.0;168.0;168.0;;168.0;;;;;;;;;x
c_168_0_adj;168.0ian;;168.0er;;;;;;;;;;;x
c_169_0;169.0;169.0;169.0;;169.0;;;;;;;;;x
c_169_0_adj;169.0ian;;169.0er;;;;;;;;;;;x
c_170_0;170.0;170.0;170.0;;170.0;;;;;;;;;x
c_170_0_adj;170.0ian;;170.0er;;;;;;;;;;;x
c_171_0;171.0;171.0;171.0;;171.0;;;;;;;;;x
c_171_0_adj;171.0ian;;171.0er;;;;;;;;;;;x
c_172_0;172.0;172.0;172.0;;172.0;;;;;;;;;x
c_172_0_adj;172.0ian;;172.0er;;;;;;;;;;;x
c_173_0;173.0;173.0;173.0;;173.0;;;;;;;;;x
c_173_0_adj;173.0ian;;173.0er;;;;;;;;;;;x
c_174_0;174.0;174.0;174.0;;174.0;;;;;;;;;x
c_174_0_adj;174.0ian;;174.0er;;;;;;;;;;;x
